iter	Passed	Remaining
0	47	37622
1	47	18995
2	48	12761
3	48	9657
4	48	7777
5	49	6523
6	49	5627
7	49	4944
8	50	4422
9	50	4005
10	51	3664
11	51	3379
12	51	3139
13	52	2933
14	52	2753
15	53	2598
16	53	2460
17	53	2336
18	54	2227
19	54	2127
20	54	2038
21	55	1957
22	55	1882
23	56	1814
24	56	1751
25	56	1693
26	57	1640
27	57	1590
28	58	1544
29	58	1501
30	58	1460
31	59	1422
32	59	1386
33	60	1353
34	60	1321
35	60	1291
36	61	1263
37	61	1235
38	62	1210
39	62	1186
40	62	1163
41	63	1140
42	63	1119
43	63	1099
44	64	1080
45	64	1061
46	65	1043
47	65	1026
48	65	1010
49	66	994
50	66	979
51	67	965
52	67	951
53	67	937
54	68	924
55	68	912
56	69	900
57	69	888
58	69	877
59	70	866
60	70	855
61	70	845
62	71	835
63	71	825
64	72	815
65	72	806
66	72	797
67	73	789
68	73	780
69	74	772
70	74	764
71	74	756
72	75	749
73	75	742
74	76	734
75	76	728
76	76	721
77	77	714
78	77	708
79	77	701
80	78	695
81	78	689
82	79	683
83	79	678
84	79	671
85	80	665
86	80	660
87	80	655
88	81	650
89	81	645
90	82	640
91	82	635
92	82	629
93	83	625
94	83	620
95	84	616
96	84	611
97	84	607
98	85	603
99	85	599
100	86	595
101	86	591
102	86	587
103	87	583
104	87	579
105	87	575
106	88	572
107	88	568
108	89	564
109	89	561
110	89	557
111	90	554
112	90	551
113	91	547
114	91	544
115	91	541
116	92	538
117	92	535
118	93	532
119	93	529
120	93	526
121	94	523
122	94	520
123	94	517
124	95	514
125	95	511
126	96	509
127	96	506
128	96	503
129	97	501
130	97	498
131	98	496
132	98	493
133	98	491
134	99	488
135	99	486
136	100	483
137	100	481
138	100	479
139	101	476
140	101	474
141	101	472
142	102	470
143	102	468
144	103	466
145	103	463
146	103	461
147	104	459
148	104	457
149	105	455
150	105	453
151	105	451
152	106	449
153	106	447
154	107	445
155	107	443
156	107	441
157	108	439
158	108	438
159	109	436
160	109	434
161	109	432
162	110	430
163	110	429
164	111	427
165	111	425
166	111	423
167	112	421
168	112	420
169	112	418
170	113	416
171	113	415
172	114	413
